# 서재 디스크 전시대에 꽂는 영상 강의 디스크. 숙련도 1개당 1장 (skill 은 코드가 찾는 값이므로 바꾸지 않는다).
# 아이템 id 는 disc_<skill>, 가격은 등급에서 정해진다 (tables.csv 의 DISC_VALUE_BY_RARITY).
# 등급은 같은 숙련의 책(books.csv)과 같아야 하고 — 다르면 data:check 가 잡는다 — 그 등급이 곧 서재 몫의 가중치다 (tables.csv 의 BOOK_RARITY_MUL).
# 설명에 숫자를 적지 않는다: 몫 · 상한 · 칸 수는 constants.csv 가 정하고 툴팁 · 서재 화면이 보여 준다.
skill,name,rarity,description
carry,〈짐꾼의 요령: 실전편〉,common,노련한 짐꾼이 무거운 짐을 지고 걷는 모습을 그대로 찍은 영상 강의. 서재 디스크 전시대에 꽂으면 운반 숙련의 상승량이 늘어난다.
appraisal,〈감정사의 눈: 현장 촬영본〉,uncommon,전리품 감정 과정을 손 위에서 확대해 보여 주는 촬영본. 서재 디스크 전시대에 꽂으면 감정 숙련의 상승량이 늘어난다.
grit,〈버티는 법: 생존자 인터뷰〉,uncommon,살아 돌아온 헬다이버들이 카메라 앞에서 털어놓은 증언 영상. 서재 디스크 전시대에 꽂으면 인내 숙련의 상승량이 늘어난다.
gardening,〈함선 원예 강좌〉,common,재배층 관리를 따라 하기 쉽게 찍은 교양 강좌. 서재 디스크 전시대에 꽂으면 원예 숙련의 상승량이 늘어난다.
crafting,〈야전 제작 시연〉,uncommon,폐자재로 장비를 조립하는 손놀림을 처음부터 끝까지 담은 시연 영상. 서재 디스크 전시대에 꽂으면 제작 숙련의 상승량이 늘어난다.
medicine,〈전장 의학 실습 영상〉,rare,군의관 교육 과정에서 쓰던 응급 처치 실습 기록. 서재 디스크 전시대에 꽂으면 의학 숙련의 상승량이 늘어난다.
cryptography,〈암호 해독 브리핑 — 대외비〉,epic,정보부 내부 교육용으로만 돌던 해독 브리핑 녹화본. 서재 디스크 전시대에 꽂으면 암호학 숙련의 상승량이 늘어난다.
implant,〈전술 임플란트 운용 훈련 기록〉,epic,임플란트 과열과 냉각 주기를 실제 훈련 장면으로 보여 주는 기밀 기록. 서재 디스크 전시대에 꽂으면 전술 임플란트 숙련의 상승량이 늘어난다.
gun_AR,〈사격 훈련 영상: 돌격소총〉,common,표준 돌격소총 사격장 훈련을 여러 각도에서 찍은 교육 영상. 서재 디스크 전시대에 꽂으면 돌격소총 사격 숙련의 상승량이 늘어난다.
gun_SMG,〈사격 훈련 영상: 기관단총〉,common,실내 근접 연사 훈련을 헬멧 카메라로 찍은 교육 영상. 서재 디스크 전시대에 꽂으면 기관단총 사격 숙련의 상승량이 늘어난다.
gun_SR,〈사격 훈련 영상: 저격소총〉,rare,저격수의 호흡과 방아쇠 손가락을 느린 화면으로 보여 주는 교육 영상. 서재 디스크 전시대에 꽂으면 저격소총 사격 숙련의 상승량이 늘어난다.
gun_DMR,〈사격 훈련 영상: 지정사수소총〉,rare,중거리 표적을 연달아 끊어 쏘는 훈련 기록. 서재 디스크 전시대에 꽂으면 지정사수소총 사격 숙련의 상승량이 늘어난다.
gun_SG,〈사격 훈련 영상: 산탄총〉,uncommon,문을 따고 들어가는 근거리 제압 훈련 기록. 서재 디스크 전시대에 꽂으면 산탄총 사격 숙련의 상승량이 늘어난다.
equipment,〈장비 정비 따라 하기〉,uncommon,방어구와 가방을 손보는 과정을 한 단계씩 짚어 주는 정비 강좌. 서재 디스크 전시대에 꽂으면 장비 관리 숙련의 상승량이 늘어난다.
