# 서재 레코드랙에 꽂는 강연 레코드. 숙련도 1개당 1장 (skill 은 코드가 찾는 값이므로 바꾸지 않는다).
# 아이템 id 는 record_<skill>, 가격은 등급에서 정해진다 (tables.csv 의 RECORD_VALUE_BY_RARITY).
# 등급은 같은 숙련의 책(books.csv)과 같아야 하고 — 다르면 data:check 가 잡는다 — 그 등급이 곧 서재 몫의 가중치다 (tables.csv 의 BOOK_RARITY_MUL).
# 설명에 숫자를 적지 않는다: 몫 · 상한 · 칸 수는 constants.csv 가 정하고 툴팁 · 서재 화면이 보여 준다.
skill,name,rarity,description
carry,《짐꾼의 노래》,common,행군하며 짐을 지는 요령을 입담 좋게 풀어낸 옛 강연 음반. 서재 레코드랙에 꽂으면 운반 숙련의 상승량이 늘어난다.
appraisal,《감정사의 밤 강연》,uncommon,전설적인 감정사가 술자리에서 풀어놓은 감정 비결을 녹음한 LP. 서재 레코드랙에 꽂으면 감정 숙련의 상승량이 늘어난다.
grit,《버티는 자들의 목소리》,uncommon,전선에서 살아 돌아온 이들의 육성 증언을 모은 음반. 서재 레코드랙에 꽂으면 인내 숙련의 상승량이 늘어난다.
gardening,《식물과 나누는 대화》,common,원예가가 재배층 앞에서 나지막이 들려주는 강연 녹음. 서재 레코드랙에 꽂으면 원예 숙련의 상승량이 늘어난다.
crafting,《장인의 작업대》,uncommon,공방 소음과 함께 녹음된 노장 기술자의 제작 강연. 서재 레코드랙에 꽂으면 제작 숙련의 상승량이 늘어난다.
medicine,《야전병원 강의록》,rare,포성 속에서 이어진 군의관의 강의를 그대로 담은 희귀 음반. 서재 레코드랙에 꽂으면 의학 숙련의 상승량이 늘어난다.
cryptography,《수신자 없는 방송》,epic,암호 방송을 해독하는 법을 녹음한 정체불명의 금지 음반. 서재 레코드랙에 꽂으면 암호학 숙련의 상승량이 늘어난다.
implant,《신경 동조 강연 — 원판》,epic,임플란트 개발자가 남긴 신경 동조 강연의 원판 녹음. 서재 레코드랙에 꽂으면 전술 임플란트 숙련의 상승량이 늘어난다.
gun_AR,《교관의 목소리: 돌격소총》,common,사격장 교관의 구령과 강의를 한 면에 담은 교육용 음반. 서재 레코드랙에 꽂으면 돌격소총 사격 숙련의 상승량이 늘어난다.
gun_SMG,《교관의 목소리: 기관단총》,common,근접 연사의 박자를 구령으로 익히는 교육용 음반. 서재 레코드랙에 꽂으면 기관단총 사격 숙련의 상승량이 늘어난다.
gun_SR,《교관의 목소리: 저격소총》,rare,호흡을 고르는 저격수의 강연과 긴 침묵이 담긴 음반. 서재 레코드랙에 꽂으면 저격소총 사격 숙련의 상승량이 늘어난다.
gun_DMR,《교관의 목소리: 지정사수소총》,rare,중거리 정밀 사격의 리듬을 풀어낸 교관 강연 음반. 서재 레코드랙에 꽂으면 지정사수소총 사격 숙련의 상승량이 늘어난다.
gun_SG,《교관의 목소리: 산탄총》,uncommon,돌입 직전의 짧은 구령과 근거리 사격 강의를 담은 음반. 서재 레코드랙에 꽂으면 산탄총 사격 숙련의 상승량이 늘어난다.
equipment,《정비병의 수다》,uncommon,정비창 한구석에서 녹음한 정비병의 장비 관리 강연. 서재 레코드랙에 꽂으면 장비 관리 숙련의 상승량이 늘어난다.
