# 함선 가구. id · room · model · interaction 은 코드가 찾는 값이므로 바꾸지 않는다.
# room: any = 어느 방이든, 그 외에는 그 용도의 방에만 놓을 수 있다.
# cols × rows 는 바닥 격자 칸수 (0.5 m 격자), height 는 표시 높이(m).
# craft 는 "아이템id:수량" 을 | 로 이어 쓴다. 비우면 제작 불가.
# maxLevel 2 이상이면 강화 비용은 data/furniture_upgrades.csv 에 적는다.
# stackLimit 은 같은 자리에 겹쳐 쌓을 수 있는 층수다 (은퇴한 옛 재배층 전용).
# retired 1 = 은퇴한 가구. 목록 · 제작 · 배치 어디에도 안 나오고, 이미 함선에 있던 것은 로드할 때 재료로 함선 창고에 환불된다.
id,name,room,cols,rows,height,model,interaction,craft,maxLevel,stackLimit,retired,color,description
furn_bench_gun,총기 작업대,workshop,4,2,1,bench_gun,workbench_gun,mat_scrap:8|mat_alloy:2|mat_cable:1,3,,,#ffd27a,총기 · 부착물 · 탄약을 제작하고 총기를 수리합니다.
furn_bench_gear,장비 작업대,workshop,4,2,1,bench_gear,workbench_gear,mat_scrap:8|mat_alloy:2|mat_cable:1,3,,,#9fb4ff,방탄복과 가방을 제작하고 수리합니다.
furn_bench_gadget,가젯 작업대,workshop,4,2,1,bench_gadget,workbench_gadget,mat_scrap:8|mat_alloy:2|mat_cable:1,3,,,#8fe8ff,수류탄과 가젯을 제작합니다.
furn_bench_medical,의학 작업대,workshop,4,2,1,bench_medical,workbench_medical,mat_scrap:6|mat_alloy:2|mat_bio_sample:3,3,,,#6ee7a8,스팀과 회복 아이템을 조제합니다.
furn_bench_refine,가공 작업대,workshop,4,2,1,bench_refine,workbench_refine,mat_scrap:10|mat_alloy:2|mat_cable:2,3,,,#e0a0ff,폐금속·천조각·구동 코어를 상위 재료로 가공합니다. 고등급 장비의 관문입니다.
furn_range_console,관물대,range,2,1,2,locker,range_console,mat_scrap:6|mat_cable:2|mat_circuit:1,5,,1,#7fd2ff,로드아웃 프리셋을 저장하고 즉시 무장합니다. 강화하면 프리셋 슬롯이 늘어납니다. 시뮬레이션실에 설치하세요.
furn_target_lane,표적 레인,range,2,6,1.8,target_lane,none,mat_scrap:6|mat_alloy:1,1,,1,#c8ccd2,시뮬레이터 표적 레인 (장식).
furn_sim_hub,시뮬레이션 허브,range,2,2,1.5,sim_hub,sim_hub,mat_scrap:8|mat_cable:2|mat_circuit:2,5,,1,#9fe8ff,시뮬레이션 훈련장에 입장합니다. 탄약과 내구도는 소모되지 않습니다. 강화할수록 사격 숙련 상승량이 늘어납니다.
furn_repair_bench,정비 벤치,workshop,4,2,1,repair_bench,repair_bench,mat_scrap:6|mat_alloy:1,1,,1,#d7c39a,무기 내구도를 재료로 수리합니다. 조종석에서 작업실로 옮겨졌습니다.
furn_grow_rack,재배층,greenhouse,4,2,0.8,grow_rack,grow_rack,mat_scrap:5|mat_cable:1|mat_bio_sample:2,1,4,1,#7ee08a,씨앗을 심어 현실 시간에 맞춰 약초를 키웁니다. 같은 자리에 4층까지 쌓을 수 있습니다.
furn_grow_station,재배 스테이션,greenhouse,4,2,2.2,grow_station,grow_station,mat_scrap:8|mat_cable:2|mat_bio_sample:3,3,,,#7ee08a,재배층에 토양을 채우고 씨앗을 심습니다. 강화하면 재배층이 1 → 2 → 3 층으로 늘어나며 층마다 3칸입니다.
