# 티어별 개별 아이템 가중치 배수. 0 = 그 티어에서 절대 안 나옴, 1 보다 크면 더 흔해진다.
# target 이 무기 계열 id (`sr`) 면 그 계열의 모든 등급에, 아이템 id (`mat_cable`) 면 그 아이템에만 걸린다.
# @ 로 시작하면 묶음이다:
#   @unique_weapons   유니크 무기 6종 · @unique_ammo 유니크 탄종 6종 · @graded_families 등급 무기 6계열
#   @working_implants 정상 임플란트 전부 (상자에서는 안 나오게 0 으로 둔다)
#   @broken_implants.<등급>  그 등급의 망가진 임플란트
# 상위 재료 5종의 배수 (2026-09-11, C-35) 는 "상자 재료 픽 중 상위 재료 비율" 로 역산했다 — 티어 1–2 0 · 3 ≈5 % · 4 ≈10 % · 5 ≈15 %.
#   비율 = Σ(희귀도 가중치 × 배수, 상위 5종) ÷ Σ(같은 식, 재료 전부). 행성 희귀도 배수(planet_loot.csv)를 걸기 전 기준이다.
#   다른 재료의 배수나 loot_tiers.csv 의 희귀도 가중치를 바꾸면 이 비율도 움직인다 — data/README.md 의 역산 절차로 다시 맞춘다.
# 열쇠 2종 (key_basement 지하실 열쇠 · keycard_lab 연구소 키카드, 2026-09-12 소모형 만능 열쇠): 티어 3 · 4 에서만 1,
#   티어 1 · 2 · 5 는 0 이다. 실제 빈도는 이 배수가 아니라 loot_category_weights.csv 의 `key` 줄(티어 3 · 4 에만 있다)이
#   정하고, 여기 1 은 그 카테고리 안에서 두 열쇠를 반반으로 나눈다. 0 줄은 나중에 누가 `key` 카테고리를 다른 티어에
#   더해도 열쇠가 새지 않게 막는 안전핀이다 — 지우지 않는다. 기대치는 scripts/check-planet-loot.mjs 가 잰다.
# 온실 약재 3종 (herb_frostmoss · herb_emberpod · herb_ironleaf, 2026-09-11 온실 개편) 도 모든 티어에서 0 이다 —
# 이것들은 **재배층에서만** 나오는 수확물이라 레이드에서 주울 수 있으면 온실을 돌릴 이유가 없어진다.
# 같은 이유로 작물 4종(crop_*) 과 토양 4종(soil_*) 에는 줄이 아예 없다: 그 두 카테고리는
# loot_category_weights.csv 에 가중치가 없어 상자 굴림의 후보가 되지 못한다 (토양은 채집 노드 전용이다).
# 씨앗만 레이드에서 나온다 — 씨앗 픽은 seeds.csv 의 모든 줄 중에서 등급 가중치로 고르므로 새 씨앗도 저절로 들어간다.
# 2026-09-11 (A-11): 다만 **개량 품종** 2종(seed_deeproot · seed_lumenpod)은 모든 티어에서 0 이다 —
#   야생에 없고 분석기 해석으로만 나오는 것이 그 둘의 존재 이유다. 야생 씨앗 4종은 그대로 상자에서도 나온다.
# 2026-09-11 (A-12) 의 「티어 3 에서 봉인된 유전자 시료 · 결정 표본 0」 줄은 2026-09-13 에 지웠다 — 옛 표본 11종이 은퇴했다(아래 요리 재료 티어 절).
tier,target,mul
# 티어 1 — 보급 상자
1,@unique_ammo,0
1,gad_turret,0
1,gad_dome_shield,0
1,gad_remote_mine,0
1,gad_drone_ground,0
1,gad_drone_air,0
1,mat_cable,0
1,mat_circuit,0
1,mat_machine_parts,0
1,mat_cloth,2.5
1,mat_can,1.5
1,mat_syringe,0
1,mat_antiseptic,0
1,mat_core,1.5
1,shield_charger,0.5
1,shield_charger_hi,0
1,shield_charger_full,0
# 상위 재료 5종 (정제 작업대 전용 — 강화 직조포 · 복합 방탄섬유 · 축전 모듈 · 강화합금 잉곳 · 제어 모듈): 티어 1–2 상자에서는 안 나온다
1,mat_weave,0
1,mat_ballistic_fiber,0
1,mat_capacitor,0
1,mat_ingot,0
1,mat_control_module,0
# 온실 약재 3종 (2026-09-11): 재배층 수확물이라 상자에서 나오면 안 된다
1,herb_frostmoss,0
1,seed_deeproot,0
1,seed_lumenpod,0
1,herb_emberpod,0
1,herb_ironleaf,0
1,key_basement,0
1,keycard_lab,0

# 티어 2 — 군수 상자
2,@unique_ammo,0
2,@working_implants,0
2,@broken_implants.common,1
2,@broken_implants.uncommon,0.7
2,@broken_implants.rare,0.4
2,@broken_implants.epic,0.2
2,@broken_implants.legendary,0
2,wpn_smg,1.3
2,wpn_sr,0.35
2,armor_regen,0
2,armor_ultralight,0
2,armor_optical,0
2,gad_remote_mine,0.6
2,gad_drone_ground,0.4
2,gad_drone_air,0
2,mat_cable,1.2
2,mat_circuit,0.3
2,mat_machine_parts,0.6
2,mat_cloth,2
2,mat_can,1.5
2,mat_syringe,0.8
2,mat_antiseptic,0
2,mat_core,1.2
2,shield_charger,0.8
2,shield_charger_full,0
# 상위 재료 5종: 안 나온다 (C-35)
2,mat_weave,0
2,mat_ballistic_fiber,0
2,mat_capacitor,0
2,mat_ingot,0
2,mat_control_module,0
# 온실 약재 3종 (2026-09-11): 재배층 수확물이라 상자에서 나오면 안 된다
2,herb_frostmoss,0
2,seed_deeproot,0
2,seed_lumenpod,0
2,herb_emberpod,0
2,herb_ironleaf,0
2,key_basement,0
2,keycard_lab,0

# 티어 3 — 귀중품 금고
3,@unique_weapons,0
3,@unique_ammo,0
3,@working_implants,0
3,@broken_implants.common,1
3,@broken_implants.uncommon,1
3,@broken_implants.rare,0.7
3,@broken_implants.epic,0.4
3,@broken_implants.legendary,0
3,wpn_sr,1.2
3,gad_drone_ground,0.7
3,gad_drone_air,0.4
3,mat_circuit,0.6
3,mat_machine_parts,0.8
3,mat_cloth,1.2
3,mat_can,1
3,mat_syringe,1
3,mat_antiseptic,0
3,mat_core,1
# 상위 재료 5종: 재료 픽 중 ≈5 % (C-35 — 5종에 같은 배수를 걸어 희귀도 사이 비율은 그대로 둔다)
3,mat_weave,0.082
