# NPC 퀘스트 (2026-09-14). id 는 세이브 · 서버 크레딧 원장(quest:<id>) · data/crypto.csv 의 unlockQuest 가 찾는 값이므로 바꾸지 않는다.
# npc = data/npcs.csv 의 id. 같은 NPC 의 퀘스트는 이 파일의 줄 순서대로 하나씩 제안된다 (그 NPC 에 대기 중인 제안이 있으면 다음 제안은 오지 않는다).
# 제안 조건(모두 만족): reqLevel = 캐릭터 레벨 · reqRep = "기업:신뢰도 레벨" | … · reqQuests = 먼저 완료한 퀘스트 id | ….
# 보상: rewardCredits (서버 원장으로 한 번만 지급 — 암호화폐 해금 퀘스트는 0 보다 커야 한다) · rewardXp · rewardRep = "기업:양" | … · rewardItems = "아이템id:수량" | ….
# npcTrust (2026-09-14) = 이 퀘스트를 **낸 NPC** 의 개인 신뢰도 보상. 기업 신뢰도(rewardRep)와 함께 주고 서로를 대신하지 않는다 — 무소속 NPC(레이븐 · 케인)는 이것만 받는다.
#   레벨 표는 기업과 같은 REP_TABLE(data/tables.csv, 0/100/300/700/1500/3000). 체인 초반은 작게 후반은 크게 잡아, 한 NPC 의 체인을 다 깨면 기업 NPC 는 Lv.3 · 무소속은 Lv.4 가 된다.
#   크레딧이 아니라 서버 검증과 무관하다 (credits:tx 를 타지 않는다).
# 2026-09-17 사용자 결정: 기업 신뢰도 Lv.0 → 1 은 레이븐 다음에 오는 기업 NPC 첫 퀘스트로만 오른다 — q_ce_s1(민지후) = ceres:100 · q_nm_s1(차유나) = nomad:100
#   (REP_TABLE Lv.1 = 100). 계약은 Lv.1 부터(contracts.csv), Lv.0 기업은 기업 탭에서 고를 수 없다(tuning.csv CORP_ACCESS_REP_LEVEL). 헬릭스 · 바스티온은 그대로.
# 대사 (| 로 말풍선을 나눈다): offer = 퀘스트 카드 앞 · accept = 수락 뒤 · complete = 완료 보고 뒤.
#   decline · brief 는 **은퇴했다** (2026-09-14 3차 사용자 결정 — 「생각해보지」 선택지 제거). 새로 쓰이지 않고 옛 대화 기록을 푸는 데만 남는다 —
#   지우면 그 기록이 빈 말풍선이 되므로 그대로 둔다 (계약의 airstrike · secondary 와 같은 처리). 새 퀘스트 줄은 두 칸을 비워도 된다.
# 채굴 인가 퀘스트 id 는 고정: q_hx_permit · q_bs_permit · q_nm_permit · q_ce_permit. 목표는 data/npc_objectives.csv.
# 2026-09-21 (agent SURVEY): mailSubject · mailBody · mailItems = 이 퀘스트가 **제안될 때** 우편으로 보내는 소포 (MailRef.send — id npc:<npc>:<퀘스트 id>, 한 번만).
#   mailItems = "아이템id:수량" | …. 세 칸을 모두 비우면 우편이 없다. 윤시아(q_at_*)의 체인은 조사 대상 기록(npc_objectives.csv kind survey)만 쓴다.
id,npc,name,summary,reqLevel,reqRep,reqQuests,rewardCredits,rewardXp,rewardRep,rewardItems,npcTrust,offer,accept,decline,brief,complete,mailSubject,mailBody,mailItems
q_hx_s1,npc_park_doyun,탄피 수거 작전,보급 창고가 비었다. 폐금속과 화약을 모아 헬릭스 탄약 라인을 다시 돌린다.,,,,150,200,,shield_charger:2,100,보급관 박도윤이에요! 탄약 라인이 멈췄어요.|폐금속이랑 화약만 있으면 오늘 안에 다시 돌릴 수 있는데… 좀 모아 주실래요?,살았다! 창고 쪽엔 제가 말해 둘게요.,"아, 바쁘시죠. 괜찮아요. 생각나면 퀘스트 탭에서 다시 받아 주세요.","폐금속 12개, 화약 8개요. 함선 창고에 있으면 바로 납품하시면 돼요.",라인 재가동 확인! 한서진 실장님께 당신 이름 올려 둘게요.
q_hx_s2,npc_park_doyun,보급로 점검,보급 드론이 추락한 구역을 스캔하고 길목을 막는 인간형 적을 정리한다.,,,q_hx_s1,300,350,helix:30,grenade_frag:3,200,보급 드론이 연달아 추락했어요. 누가 길목에서 떨어뜨리는 것 같아요.|구조물 옥상 맵 스캐너로 구역을 훑고 걸리는 놈들을 좀 정리해 주세요.,고마워요! 스캔 데이터는 자동으로 저한테 넘어와요.,알겠어요. 드론은… 한 대만 더 떨어뜨려 보죠 뭐.,맵 스캐너 한 번 작동하고 인간형 적 6명만 정리해 주세요.,길목이 조용해졌어요. 실장님이 직접 연락하실지도 몰라요. 긴장하세요!
q_hx_s3,npc_park_doyun,기관단총 실전 데이터,헬릭스 기관단총의 실전 기록이 필요하다. 기관단총으로 적을 처치하고 현장 총기를 회수한다.,4,,q_hx_s2,450,500,helix:40,att_mag_light:1,300,바스티온 오세라 시험관이 우리 기관단총을 「물총」이라고 했대요.|실전 기록으로 코를 납작하게 해 주고 싶어요. 기관단총으로만 처치해 주세요!,좋아요. 기록지 준비해 둘게요!,음… 오세라한테 지는 기분이네요. 마음 바뀌면 불러 주세요.,기관단총 막타로 인간형 적 8명. 그리고 레이드에서 주운 기관단총 하나 들고 나오시면 돼요.,숫자가 확실해요. 오세라한테 보고서 복사본 보내 줘야지.
q_hx_s4,npc_park_doyun,창고 털이,버려진 전진기지에 헬릭스가 두고 온 비축 물자가 있다. 한 레이드에 기지를 찾아 컨테이너를 뒤진다.,6,,q_hx_s3,600,700,helix:50,wpn_smg_g3:1,400,철수할 때 전진기지에 물자를 두고 왔대요. 장부엔 있는데 창고엔 없죠.|기지를 찾으면 그 자리에서 컨테이너를 싹 뒤져 주세요. 누가 먼저 가져가기 전에요.,파워 셀도 좀 챙겨 주시면 실장님이 좋아하실 거예요.,누가 먼저 털어 가도 저는 모르는 일이에요…,전진기지를 발견하고 같은 레이드에서 컨테이너 4개 조사. 그리고 파워 셀 2개 납품이에요.,장부랑 맞았어요! 이건 제 사비로 드리는 거예요. 비밀이에요.
q_hx_e1,npc_han_seojin,물량 검증,헬릭스 합금 공급망과 돌격소총 교전 효율을 함께 검증한다.,,,,500,600,helix:150,att_brake:1,150,헬릭스의 원칙은 단순합니다. 더 많이. 더 빨리.|합금 판을 납품하고 우리 돌격소총으로 교전 효율을 증명해 주세요.,좋습니다. 기한은 두지 않겠습니다. 결과로 말하세요.,망설임도 비용입니다. 필요하면 다시 연락하세요.,합금 판 8개. 그리고 돌격소총으로 인간형 적 12명. 그게 전부입니다.,수치 확인했습니다. 헬릭스는 약속을 지키는 파트너를 기억합니다.
q_hx_permit,npc_han_seojin,헬릭스 채굴 인가,헬릭스 토큰(HLXT) 채굴망 인가 절차. 회로와 전력을 납품하고 현장 스캔 기록을 제출한다.,,helix:2,q_hx_e1,300,600,helix:200,,200,헬릭스 토큰 채굴망에 외부 함선을 한 척 더 붙일 예정입니다.|인가 조건은 장비 규격 확인과 현장 스캔 기록. 준비되면 받으세요.,인가 서류는 제가 올리겠습니다.,채굴망 자리는 한정돼 있습니다. 오래 기다리진 않습니다.,회로 기판 6개와 파워 셀 4개 납품. 그리고 맵 스캐너 작동 기록 하나. 완료하면 HLXT 를 채굴하고 거래할 수 있습니다.,인가 완료. 이제 헬릭스 토큰을 채굴하고 거래할 수 있습니다.
q_hx_e2,npc_han_seojin,바스티온의 그림자,바스티온이 보레아스 IX 연구소에서 헬릭스 탄약 규격을 몰래 시험한다는 제보를 확인한다.,,helix:2,q_hx_permit,800,900,helix:250,heal_syringe:2,300,레이븐이라는 브로커가 흥미로운 정보를 팔더군요. 바스티온이 우리 탄약 규격을 복제하고 있다고.|보레아스 IX 의 연구소입니다. 들어가서 그 자리에서 기록을 뒤져 오세요.,강태오 이사에겐 당연히 비밀입니다.,정보의 유통기한은 짧습니다.,보레아스 IX 에서 연구소를 찾고 같은 레이드에 컨테이너 3개를 조사하세요.,…역시. 바스티온은 느리지만 베끼는 속도는 빠르군요. 수고했습니다.
q_hx_e3,npc_han_seojin,화력 시연,피로스 VII 의 레이더를 상대로 헬릭스 돌격소총의 화력을 투자자들 앞에서 시연한다.,,helix:3,q_hx_e2,1400,1500,helix:450,wpn_ar_g4:1,450,투자자들 앞에서 시연이 필요합니다. 상대는 피로스 VII 의 레이더.|돌격소총으로만. 한 번의 레이드에. 현장 총기도 증거로 가져오세요.,촬영 드론은 붙이지 않겠습니다. 당신 기록이 곧 영상입니다.,시연 일정은 조정하겠습니다. 다음은 없을 수도 있습니다.,피로스 VII 에서 돌격소총으로 레이더 15명. 그리고 거기서 얻은 돌격소총 2정을 가지고 탈출하세요.,투자 계약이 성사됐습니다. 이건 헬릭스가 드리는 정식 보상입니다.
q_bs_s1,npc_oh_sera,탄도 표본,탄두 관통 시험에 쓸 터미니드 분비선과 합금 판을 모은다.,,,,200,250,,shield_charger:2,100,관통 시험용 표적이 필요해요. 터미니드 분비선이 사람 조직과 제일 비슷하거든요.|합금 판도 조금. 박도윤 쪽보다 빨리 시작하고 싶어요.,좋아요. 시험실 온도 맞춰 둘게요.,…그래요. 시험은 기다려 줄 수 있어요.,터미니드 분비선 2개. 합금 판 4개예요.,표본 상태 양호. 기록 시작합니다.
q_bs_s2,npc_oh_sera,지정사수 시험,바스티온 지정사수소총의 실전 명중 기록을 남기고 시험 구역인 전진기지를 확인한다.,,,q_bs_s1,350,400,bastion:30,att_scope4:1,200,사격장 기록은 거짓말을 안 하지만 실전 기록은 더 정직하죠.|지정사수소총으로만 처치해 주세요. 막타만 셉니다. 시험 구역인 전진기지 위치도 확인해 주시고요.,조준경 영점은 확인하고 나가세요.,준비가 안 됐으면 쏘지 않는 게 맞아요.,지정사수소총 막타로 인간형 적 5명. 그리고 전진기지 발견이에요.,명중 분포가 좋아요. 강태오 이사님께 보고서 올릴게요.
