# 메신저 NPC (2026-09-14, docs/DECISIONS.md 「2026-09-14 — 메신저 · NPC 퀘스트 · 단체방」). id 는 세이브 · 퀘스트가 찾는 값이므로 바꾸지 않는다.
# corp = helix | bastion | nomad | ceres | 비움(무소속). role = executive(임원) | staff(직원) | independent(무소속).
# glyph = 대화 목록 초상의 글자 1–2개. color = 초상 · 이름 강조색.
# 첫 연락 조건(모두 만족, 비우면 조건 없음): reqLevel = 캐릭터 레벨, reqRep = "기업:신뢰도 레벨" 을 | 로, reqQuests = 먼저 완료한 NPC 퀘스트 id 를 | 로.
# reqNpcRep = "npcId:레벨" 을 | 로 — NPC **개인** 신뢰도 레벨(0–5, 기업과 같은 REP_TABLE). 2026-09-14 사용자 결정으로 지금은 아무 줄도 쓰지 않는다 (적립 · 표시까지만).
# reqFlag (2026-09-14 3차) = "플래그:횟수" 를 | 로 — 진행 플래그가 그 수 이상. 플래그는 gathered(채집물을 캔 횟수) · raidReturned(레이드에서 살아 돌아온 횟수) 둘이고
#   세는 곳도 저장(NpcSave.flags)도 meta/ 하나다. 튜토리얼 레이드는 raidReturned 를 올리지 않는다.
#   2026-09-14 3차 사용자 결정: 4기업 NPC 는 튜토리얼이 끝나자마자 연락하지 않는다 — 민지후 = 채집 1회 · 차유나 = 레이드 복귀 1회 ·
#   오세라 = 차유나 첫 퀘스트 완료 · 박도윤 = 레이븐 둘째 퀘스트 완료. 그래서 튜토리얼 직후 연락이 오는 NPC 는 레이븐(reqLevel 1) 하나다.
#   2026-09-17 사용자 결정: 민지후 · 차유나는 거기에 더해 **레이븐 첫 퀘스트(q_rv_0) 완료** 뒤에 연락한다 (reqQuests) — 처음부터 세 NPC 가 한꺼번에 오지 않고
#   레이븐 → (채집 1회 → 민지후 · 레이드 복귀 1회 → 차유나) 순이다. 플래그는 누적 횟수로 저장되므로 q_rv_0 전에 채집 · 복귀했어도 완료하는 순간 연락이 온다.
# 2026-09-14: 정보 브로커 레이븐(npc_raven)은 reqLevel 4 → 1 (정보상을 1레벨부터 쓴다 — 무소속이라 기업 신뢰도 조건도 없다).
# 첫 연락은 3단이다 (2026-09-14 3차 사용자 결정 — 자기소개와 용건을 한꺼번에 쏟지 않는다):
#   intro = 인사 1–3마디 → introChoices / introChoiceReplies = 내 대답 2개와 각각에 대한 NPC 의 짧은 답 → introAfter = 본론(자기소개 · 용건) 2–3마디 → 퀘스트 카드.
# intro = 첫 연락 때 NPC 가 보내는 말풍선들 (| 로 말풍선을 나눈다). bio = 대화창 머리의 한 줄 소개.
# introChoices / introChoiceReplies = 첫 연락 말풍선이 끝난 뒤 뜨는 **내 대답** 버튼들과 각각에 대한 NPC 의 답 (| 로 나눈다, 두 열의 개수가 같아야 한다 — 비우면 선택지 없음).
#   어느 쪽을 골라도 대화는 같은 자리로 흐른다 (분기 상태를 저장하지 않는다).
# introAfter (2026-09-14 3차) = 선택지에 **답한 뒤** 이어지는 본론 말풍선들 (| 로 나눈다 — introChoices 가 있는 줄에만 쓴다).
#   이 열이 있는 NPC 는 **선택지에 답하기 전에는 퀘스트를 제안하지 않는다** (meta/parts/NpcQuests.evaluate).
id,name,title,corp,role,color,glyph,reqLevel,reqRep,reqQuests,reqFlag,intro,bio,introChoices,introChoiceReplies,introAfter
npc_park_doyun,박도윤,헬릭스 현장 보급관,helix,staff,#ff9d6e,도,,,q_rv_1,,"안녕하세요! 이 회선 맞나요? 헬릭스 현장 보급관 박도윤입니다.|기업 네트워크에서 함선 번호를 받았는데 연결이 좀 늦었네요.",밝고 수다스럽지만 늘 재고표에 쫓기는 헬릭스 보급관. 한서진 실장에게 직접 보고한다.,헬릭스가 제 번호를 어떻게 알았습니까?|말씀하세요. 듣고 있습니다.,"아, 네트워크에 등록된 함선은 전부 조회돼요. 저희가 캐낸 건 아니에요. 정말로요.|감사합니다! 그럼 바로 본론으로 갈게요.","저는 현장 보급을 맡고 있어요. 탄약이든 부품이든 라인이 멈추면 제 이름이 제일 먼저 불려요.|요즘 보급선이 자꾸 끊겨서 손이 모자라거든요. 함선 있는 분은 저한테 구세주예요.|급한 일이 생기면 여기로 연락드릴게요. 재고표가 제 심장이라 좀 자주 울릴 거예요."
npc_han_seojin,한서진,헬릭스 방산 조달실장,helix,executive,#ff7a45,한,,helix:1,q_hx_s2,,헬릭스 조달실장 한서진입니다.|박도윤이 당신 이름을 몇 번이나 올리더군요.,숫자와 납기로만 사람을 평가하는 냉정한 조달실장. 바스티온을 「느린 장인들」이라 부른다.,실장이 직접 연락할 일입니까?|좋게 봐 주셨다니 다행이군요.,직접 봐야 할 숫자가 생기면 직접 연락합니다.|좋게 본 게 아닙니다. 기록을 본 겁니다.,"저는 헬릭스의 조달을 총괄합니다. 사람은 보지 않고 납기와 수량만 봅니다.|바스티온은 그걸 두고 우리를 장사꾼이라 부르더군요. 틀린 말은 아닙니다.|앞으로 물량과 화력을 검증할 일을 맡기겠습니다. 숫자를 지키면 헬릭스도 당신을 지킵니다."
npc_oh_sera,오세라,바스티온 탄도 시험관,bastion,staff,#8cc2ff,세,,,q_nm_s1,,"바스티온 탄도 시험실, 오세라입니다.|통신 상태는 괜찮네요.",말수가 적고 정확함에 집착하는 시험 사수. 헬릭스의 박도윤과 사사건건 기록 경쟁을 한다.,바스티온이 저한테 무슨 볼일이죠?|시험실이면 총을 다루시겠군요.,"볼일은 있습니다. 짧게 말하죠.|다룹니다. 정확히는, 총이 하는 말을 받아 적습니다.","저는 탄도 시험 기록을 담당합니다. 사격장 숫자는 거짓말을 안 하지만 실전 숫자는 더 정직하죠.|헬릭스 보급관이 당신한테 탄피나 줍게 한다던데, 그보다 쓸모 있는 일을 드리겠습니다.|계열별 실전 기록이 필요합니다. 막타만 셉니다. 그건 미리 말해 두죠."
npc_kang_taeo,강태오,바스티온 중공업 기술이사,bastion,executive,#5f9cf0,강,,bastion:1,q_bs_s2,,바스티온 중공업 기술이사 강태오입니다.|오세라 시험관의 보고서를 읽었습니다.,장인 기질의 기술이사. 헬릭스의 물량 공세를 경멸하고 설계도 유출에 예민하다.,보고서에 제 이름이 있었습니까?|이사가 시험 보고서까지 읽습니까?,있었습니다. 그래서 연락한 겁니다.|설계에 들어갈 숫자는 제가 직접 읽습니다.,"바스티온은 한 발의 무게를 압니다. 많이 쏘는 것보다 한 발이 제자리에 박히는 것이 중요하죠.|헬릭스는 그걸 느리다고 합니다. 느린 것이 아니라 두 번 만들지 않는 겁니다.|설계 회수와 실전 검증을 맡기겠습니다. 당신이 그 무게를 감당할 수 있는지 보죠."
npc_cha_yuna,차유나,노마드 장비 수선공,nomad,staff,#e6c77a,유,,,q_rv_0,raidReturned:1,노마드 수선소 차유나야. 반말해도 되지?|회선 잡는 데 한참 걸렸네.,털털한 수선공. 마르코 대장의 옛 분대에서 살아 돌아온 유일한 대원이다.,편한 대로 하세요.|누구시죠?,좋아. 격식 차리면 손이 굳어서.|수선공. 네가 부수면 내가 꿰매는 사람이지.,"노마드 수선소에서 장비 수선을 맡고 있어. 가방이든 방탄복이든 굴러 본 물건만 내 앞에 와.|새 물건은 데이터가 없어서 재미없어. 누가 쓰다 버린 게 제일 솔직하지.|현장에서 쓸 만한 거 주워 오면 연락해. 값은 물건이랑 수선으로 쳐 줄게."
npc_marco_lee,마르코 이,노마드 장비 원정대장,nomad,executive,#c9a24f,마,,nomad:1,q_nm_s2,,노마드 원정대장 마르코 이다.|유나가 믿을 만한 사람이라고 하더군.,수십 번의 원정에서 살아 돌아온 노장. 피로스 VII 에서 잃은 분대를 아직 잊지 못했다.,대장님 이름은 들었습니다.|유나가 과장한 겁니다.,이름이 남았다면 아직 안 죽었다는 뜻이지.|유나는 과장을 안 해. 그래서 데리고 다녔다.,"나는 원정로를 낸다. 지도에 없는 길을 먼저 밟고 뒤에 올 사람 몫으로 표시해 두는 일이지.|짊어진 만큼 살아 돌아오는 법, 그게 노마드의 유일한 규칙이다.|앞으로 지도와 길을 부탁하겠다. 살아 돌아오는 것까지가 조건이야."
npc_min_jihoo,민지후,세레스 온실 연구원,ceres,staff,#7ff0b5,지,,,q_rv_0,gathered:1,"저, 세레스 바이오 온실 연구원 민지후입니다.|갑자기 연락드려 죄송해요. 잠깐 괜찮으실까요?",다정하고 조심스러운 식물학자. 상사인 서하람 본부장의 연구 방식에 남몰래 불안을 느낀다.,괜찮습니다. 말씀하세요.|용건부터 말해 주세요.,"감사합니다! 금방 끝낼게요.|아, 네. 죄송해요. 바로 말씀드릴게요.","저는 온실에서 야생 표본과 재배 작물을 비교하는 연구를 하고 있어요.|현장에서 직접 채집하시는 걸 봤어요. 그렇게 해 주실 분이 정말 드물거든요.|제 연구에 꼭 도움이 필요해요. 무리한 부탁은 안 드릴게요. 약속해요."
npc_seo_haram,서하람,세레스 바이오 연구본부장,ceres,executive,#4fd392,서,,ceres:1,q_ce_s2,,세레스 바이오 연구본부장 서하람입니다.|민지후 연구원이 당신을 추천했어요.,"결과만 보는 차가운 연구자. 표본의 출처를 묻지 않고, 묻는 사람도 좋아하지 않는다.",지후 씨가 저를요?|본부장이 직접 추천을 받습니까?,그 친구는 사람을 잘 믿죠. 저는 표본을 믿고요.|추천은 참고만 해요. 결과는 제가 봅니다.,"저는 세레스의 연구를 총괄해요. 몸이 먼저라는 말, 우리 회사 표어죠.|저는 그 몸을 만드는 재료에 관심이 있어요. 출처는 묻지 않습니다.|분석기와 배양조를 굴릴 수 있다면 같이 할 일이 많아요. 서로 묻지 않는 쪽이 편하죠."
npc_raven,레이븐,정보 브로커,,independent,#c79fff,R,1,,,,"이 코드로 연락이 닿는군요. 그 함선이 아직 굴러다닌다는 뜻이겠죠.|기업 네트워크 밖에서 인사드리죠. 다들 저를 레이븐이라고 부릅니다.|전에도 이름은 묻지 않았습니다. 이 통신 코드가 곧 당신이니까요.",네 기업 모두와 거래하고 누구에게도 충성하지 않는 정보 브로커. 이 함선의 전 주인과도 통신 코드로만 거래했다.,"사람을 잘못 찾으셨습니다. 이 함선, 이제 제 겁니다.|…오랜만이군요. 하던 대로 하죠.","하하. 회선부터 의심하시는군요 — 좋은 습관입니다. 걱정 마세요, 저는 코드하고만 거래합니다. 그 안에 누가 앉아 있든 물건만 제때 오면 저는 아무래도 좋으니까요.|서로 이름을 묻지 않는 사이가 제일 오래 갑니다. 그 점은 전이나 지금이나 같군요. 그럼 하던 대로 — 코드와 물건만.","제 일은 기업과 스캐빈저 사이에 다리를 놓는 겁니다. 양쪽 다 서로가 감추는 걸 사고 싶어 하거든요.|헬릭스의 장부, 세레스의 잠긴 방, 바스티온의 설계도. 전부 값이 매겨진 이야기예요.|다만 값을 매기기 전에 솜씨부터 봅니다. 곧 작은 것을 하나 부탁드리죠."
npc_kane,케인,레이더 탈영병,,independent,#b0b8c4,K,,,q_rv_2,,케인이다.|레이븐이 이 번호를 줬다.,레이더 분대를 탈영한 전직 용병. 동료를 몰살한 네임드 저격수 로든을 쫓고 있다.,레이븐이 왜 제 번호를?|무슨 일이지.,그 인간은 쓸 만한 놈을 모아 두는 취미가 있지.|급한 일이다. 그래서 연락했다.,한때 레이더였다. 분대가 로든이라는 저격수한테 몰살당하기 전까지는.|지금은 놈들 보급선을 끊으면서 그 저격수를 쫓고 있다.|레이더를 쏠 줄 아는 사람이 필요하다. 레이븐 소개라고 해서 그냥 믿는 건 아니다.
