# 손으로 적는 **제작** 레시피. id 는 코드가 찾는 값이므로 바꾸지 않는다.
# 분해(break_*)는 여기 없다 — 2026-09-10 부터 data/salvage.csv 가 그 표다.
# station: field = 현장·함선 둘 다 · ship = 함선에서만.
# bench = 이 레시피가 **속한 작업대** (gun|gear|gadget|medical|refine|extract|mixer|cook|print).
#   station ship 이면 그 작업대가 benchLevel 이상이어야 만들 수 있다는 뜻이고,
#   station field 이면 **어디서든 만들 수 있되 그 작업대 창에 뜬다**는 뜻이다 (2026-09-10 사용자 결정:
#   작업대를 열면 그 작업대의 레시피만 보인다 — 그래서 현장 레시피도 자기 작업대를 밝혀야 한다).
#   비워 두면 어느 작업대에도 안 뜨고 가방 화면의 빠른제작에만 나온다.
# inputs / extraOutputs 는 "아이템id:수량" 을 | 로 이어 쓴다.
# duration 은 홀드 시간(초, 재주·제작 숙련으로 줄어든다), skillRequired 는 필요한 숙련도다.
#
# ⚠ 내구도가 있는 장비(무기 · 방탄복)의 **수리비와 분해 산출은 이 표의 inputs 에서 나온다**
#   (data/tables.csv 의 REPAIR_COST_BY_DURABILITY · SALVAGE_YIELD_BY_DURABILITY 배율).
#   그래서 그런 레시피의 재료는 한 종류당 **2 이상**이어야 한다 — 1 이면 수리비(올림)가 제작비와 같아져
#   「제작 → 수리 → 분해」가 이득이 되지 않는다는 불변식이 아슬아슬해진다. src/items/Salvage.ts 가 검사한다.
#
# 재료 등급 축 (2026-09-10 제작 대개편):
#   하위    폐금속 · 천조각 · 생체 조직 · 화약 · 구동 코어 · 전력 케이블
#   중위    합금 판 · 기계 부품 · 강화 직조포 · 회로 기판 · 파워 셀
#   상위    총기 = 강화합금 잉곳 + 기계 부품 · 실드(방탄복) = 축전 모듈 + 제어 모듈 · 가방 = 강화 직조포 + 복합 방탄섬유
#   상위 재료는 전부 **정제 작업대**(bench refine)에서만 나온다 — 정제를 거치지 않으면 최고급 장비를 못 만든다.
#
# 연구실 (2026-09-11 A-13): 추출기(bench extract)가 작물 · 약재 · 광물에서 **성분**(mat_extract_*)을 뽑고,
#   조합대(bench mixer)가 그 성분으로 **준비물**(prep_*)을 만든다. 둘 다 연구실 방(lab)의 작업대이고
#   현장 빠른제작이 없다 — 행성 환경을 막을 준비는 함선에서만 한다.
id,name,station,bench,benchLevel,inputs,outputDefId,outputQty,extraOutputs,duration,skill,skillRequired,description
make_ammo_light,경량탄 제작,field,gun,1,mat_gunpowder:4|mat_scrap:1,ammo_light,30,,3,crafting,0,화약 4 + 폐금속 1 → 경량탄 30발.
make_ammo_medium,준중량탄 제작,field,gun,1,mat_gunpowder:6|mat_scrap:2,ammo_medium,30,,3,crafting,0,화약 6 + 폐금속 2 → 준중량탄 30발.
make_ammo_heavy,중량탄 제작,field,gun,1,mat_gunpowder:5|mat_alloy:1,ammo_heavy,10,,4,crafting,20,화약 5 + 합금 판 1 → 중량탄 10발. 제작 20 필요.
make_ammo_shell,산탄총 탄약 제작,field,gun,1,mat_gunpowder:5|mat_scrap:2,ammo_shell,8,,3,crafting,0,화약 5 + 폐금속 2 → 산탄 8발.
make_smoke,연막탄 제작,field,gadget,1,mat_gunpowder:4|mat_bio_sample:2,gad_smoke,1,,3.5,crafting,10,화약 4 + 생체 조직 2 → 연막탄. 제작 10 필요.
make_incendiary,소이 수류탄 제작,field,gadget,1,mat_gunpowder:8|herb_ashleaf:2,grenade_incendiary,1,,4,crafting,15,화약 8 + 잿빛잎 2 → 소이 수류탄. 제작 15 필요.
make_incendiary_ember,불씨 소이 수류탄 제작,field,gadget,1,mat_gunpowder:6|herb_emberpod:1,grenade_incendiary,2,,4,crafting,15,"화약 6 + 불씨꼬투리 1 → G-10 소이 수류탄 2. 온실에서 기른 불씨꼬투리가 잿빛잎보다 잘 탄다. 제작 15 필요."
make_bandage,붕대 제작,field,medical,1,mat_cloth:5,heal_bandage,1,,3,medicine,0,천조각 5 → 붕대.
make_bandage_herb,약초 붕대 제작,field,medical,1,mat_cloth:5|herb_bloodroot:1,heal_bandage_herb,1,,4,medicine,0,천조각 5 + 혈근초 1 → 약초 붕대.
refine_alloy,합금 판 정제,ship,refine,1,mat_scrap:3,mat_alloy,1,,5,crafting,0,폐금속 3 → 합금 판 1. 정제 작업대.
refine_weave,강화 직조포 직조,ship,refine,1,mat_cloth:6,mat_weave,1,,5,crafting,0,천조각 6 → 강화 직조포 1. 정제 작업대.
refine_machine_parts,기계 부품 조립,ship,refine,1,mat_scrap:6|mat_cable:2,mat_machine_parts,1,,6,crafting,15,"폐금속 6 + 전력 케이블 2 → 기계 부품 1. 정제 작업대, 제작 15 필요."
