# 서재 시리즈 (2026-09-13 사용자 결정 — docs/DECISIONS.md 「2026-09-13 — 서재 시리즈 · 비디오게임」). 로더 = src/shared/library.ts (효과 · 행성) + src/items/ItemDefs.ts (아이템).
# id = 시리즈 id (코드가 찾는 값). medium = book · disc(비디오) · record. name = 권 번호 없는 시리즈 이름 (책 『』 · 비디오 〈〉 · 레코드 《》).
# volumes = 권 수 (1 = 단편). 책 ≤ 5 · 비디오 ≤ 3 · 레코드 = 1.
# planets = 나오는 행성 id 를 | 로 (data/planets.csv). 책 · 비디오 시리즈는 한 행성. 레코드는 threat 2 이상 행성에서만 (data:check 가 본다).
# effects = kind:target:value 를 | 로 — 책 1줄 · 비디오 2줄 · 레코드 3줄. 값은 **전권 기준**이다.
#   skillGain:<숙련>:0.1 · derived:<MealBuff>:값 · gymScore:<gym_bench_press|gym_smith|gym_treadmill|gym_cycle>:0.08 ·
#   cookScore:<chop|mince|grill|stirfry>:0.08 · raidXp::0.1 · trustXp:<all|helix|bastion|nomad|ceres>:0.1 · recipe:<조리 레시피 id>:
#   derived 는 꽂는 즉시 적용되므로 아주 작게 (적재 kg · 스태미나 · 감지 m 는 단위 그대로, *Mul 은 배수 가산).
# 시리즈 몫 = 전권이면 100 %, 아니면 꽂힌 서로 다른 권마다 SHELF_SERIES_VOLUME_SHARE (constants.csv).
# ── 아이템 쪽 열 (items/ 가 읽는다) ──
# rarity = 비디오 · 레코드의 등급. **책은 비운다** — 책은 등급이 없어 전부 tables.csv 의 LIBRARY_ITEM_RARITY.book 이다.
# skill = 대표 숙련 (정렬 · 도감 묶음용). 비우면 첫 skillGain 줄의 숙련 — skillGain 이 없는 시리즈는 반드시 적는다.
# 아이템 id = book_<id>_<권> · disc_<id>_<권> · record_<id>. 이름 = 시리즈 이름 + 권 번호(단편은 없음).
# 가치: 책 = tables.csv 의 BOOK_VALUE_BY_VOLUME · 비디오 = DISC_VALUE_BY_RARITY × (1 + tuning.csv 의 DISC_VALUE_VOLUME_STEP × (권 − 1)) · 레코드 = RECORD_VALUE_BY_RARITY.
# 드롭: 그 행성의 상자 · 로그 시체 서적 굴림에서만, 권 가중치 = tables.csv 의 LIBRARY_VOLUME_DROP_WEIGHT. 상점에서는 팔지 않는다.
# description 에는 숫자를 적지 않는다 (툴팁이 효과 줄 · 권 수를 보여 준다).
id,medium,name,volumes,planets,effects,rarity,skill,description
# ══ 책 (43) ══
# ── 아켈론 II (amber) ──
carry_manual,book,『짐꾼의 요령』,5,amber,skillGain:carry:0.15,,,사막 채굴 전초의 짐꾼들이 대를 이어 적어 온 수기. 무거운 짐을 오래 지는 요령이 권마다 이어진다.
appraisal_notes,book,『감정사의 현장 노트』,3,amber,skillGain:appraisal:0.12,,,모래에 묻힌 전리품을 한눈에 가려내는 감정사의 노트.
equipment_manual,book,『장비 정비 매뉴얼』,4,amber,skillGain:equipment:0.13,,,방어구와 가방을 오래 쓰는 정비 매뉴얼. 모래 먼지 속 정비 요령이 빼곡하다.
load_bearing,book,『짐 싣는 법』,2,amber,derived:carryCapacity:2,,carry,짐의 무게 중심을 잡는 법을 그림으로 풀어 쓴 얇은 책. 꽂아 두기만 해도 어깨가 조금 가벼워진다.
desert_running,book,『모래 위를 달리는 법』,3,amber,gymScore:gym_treadmill:0.08,,grit,모래언덕을 달리던 정찰병의 호흡 훈련서. 트레드밀 위의 호흡이 한결 고르게 맞는다.
knife_basics,book,『칼질 기초』,2,amber,cookScore:chop:0.08,,cooking,전초 식당 조리장의 칼질 교본. 도마 위에서 박자를 잃지 않는다.
nomad_ledger,book,『노마드 거래 장부』,3,amber,trustXp:nomad:0.15,,appraisal,노마드 장비의 거래 담당자가 남긴 장부. 그들이 무엇을 반기는지 알면 계약이 매끄럽다.
survival_log,book,『생존 일지』,4,amber,raidXp::0.1,,grit,사막에 고립됐다 돌아온 헬다이버의 일지. 한 번의 출격에서 더 많은 것을 배운다.
recipe_meat_pie,book,『고기 파이 비법』,1,amber,recipe:cook_meat_pie:,,cooking,전초 식당에서만 팔던 고기 파이의 조리법. 책장에 꽂혀 있는 동안 조리대에서 만들 수 있다.
# ── 보레아스 IX (tundra) ──
grit_testimony,book,『버티는 법』,4,tundra,skillGain:grit:0.14,,,치명상을 견디고 살아 돌아온 헬다이버들의 증언집. 얼어붙은 평원에서 모은 이야기가 권마다 이어진다.
drill_smg,book,『사격 교본: 기관단총』,2,tundra,skillGain:gun_SMG:0.11,,,무리 사냥꾼을 상대로 다듬어진 근접 연사 교본.
drill_sg,book,『사격 교본: 산탄총』,1,tundra,skillGain:gun_SG:0.1,,,근거리 제압 사격을 한 권에 담은 교본.
field_medicine,book,『전장 의학』,5,tundra,skillGain:medicine:0.15,,,동상과 자상을 함께 다루는 군의관 교재. 전권이 한 과정이다.
